Equipment,Date,Shift,Tonnes,"Tonnes
per
Day","Tonnes
per
CutHr","Tonnes
per
OpHr",Metres,"Metres
per
Day","Metres
per
CutHr","Metres
per
OpHr",Shears,"Shears
per
Day","Shears
per
CutHr","Shears
per
OpHr",Bolts,"Bolts
per
Day",Cars,"Cars
per
Day","Cutting
Height",CutHr,OpHrs,"E/M/P
Hrs","SNO
&
NST","Total
Hrs",Op%
MY1110L,15/07/2018,WA,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,6,6,0
MY1110L,15/07/2018,WD,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,6,6,0
MY1110L,15/07/2018,WN,850,850,211.6182573,161.3924051,0,0,0,0,0,0,0,0,0,0,85,85,0,4.016666667,5.266666667,3.9,2.833333333,12,0.438888889
MY1110L,16/07/2018,A,521.53,1613.78,142.2354545,80.23538462,0,0,0,0,0,0,0,0,52,144,53,164,0,3.666666667,6.5,0.25,0.5,7.25,0.896551724
MY1110L,16/07/2018,D,413.28,1613.78,177.12,82.656,0,0,0,0,0,0,0,0,32,144,42,164,0,2.333333333,5,1.583333333,1.916666667,8.5,0.588235294
MY1110L,16/07/2018,WN,678.97,1613.78,220.2064865,104.4569231,0,0,0,0,0,0,0,0,60,144,69,164,0,3.083333333,6.5,3,2.5,12,0.541666667
MY1110L,17/07/2018,A,386.14,1257.43,193.07,136.2847059,0,0,0,0,0,0,0,0,32,78,39,127,0,2,2.833333333,3.916666667,0.5,7.25,0.390804598
MY1110L,17/07/2018,D,455.45,1257.43,147.7135135,78.07714286,0,0,0,0,0,0,0,0,46,78,46,127,0,3.083333333,5.833333333,0.75,1.416666667,8,0.729166667
MY1110L,17/07/2018,N,415.84,1257.43,134.867027,73.38352941,0,0,0,0,0,0,0,0,0,78,42,127,0,3.083333333,5.666666667,2.583333333,0.5,8.75,0.647619048
MY1110L,18/07/2018,A,607.58,1244.57,123.5755932,87.84289157,0,0,0,0,0,0,0,0,65,65,62,127,0,4.916666667,6.916666667,0.333333333,0,7.25,0.954022989
MY1110L,18/07/2018,D,98,1244.57,98,58.8,0,0,0,0,0,0,0,0,0,65,10,127,0,1,1.666666667,0.75,5.583333333,8,0.208333333
